Episode,timestep,reward
31,5000,-16062.85
125,10000,-5291.12
271,15000,-3393.95
453,20000,-2724.66
656,25000,-2446.76
863,30000,-2399.58
1070,35000,-2403.79
1279,40000,-2384.86
1486,45000,-2401.73
1693,50000,-2397.94
1900,55000,-2404.68
2109,60000,-2380.14
2318,65000,-2382.2
2524,70000,-2412.87
2730,75000,-2413.35
2938,80000,-2395.96
3146,85000,-2390.67
3351,90000,-2424.04
3559,95000,-2386.05
3767,100000,-2389.88
3976,105000,-2386.05
4182,110000,-2416.45
4391,115000,-2381.71
4599,120000,-2379.3
4809,125000,-2377.66
5017,130000,-2390.85
5226,135000,-2375.83
5436,140000,-2375.03
5643,145000,-2394.71
5850,150000,-2402.7
6059,155000,-2389.44
6266,160000,-2397.18
6474,165000,-2388.08
6682,170000,-2393.97
6889,175000,-2399.83
7096,180000,-2399.99
7307,185000,-2367.75
7513,190000,-2407.02
7722,195000,-2385.23
7932,200000,-2365.86
8140,205000,-2386.44
8347,210000,-2401.32
8554,215000,-2407.61
8759,220000,-2422.59
8969,225000,-2366.56
9178,230000,-2380.94
9387,235000,-2386.85
9596,240000,-2383.15
9804,245000,-2383.65
10012,250000,-2394.27
10221,255000,-2385.13
10430,260000,-2372.66
10639,265000,-2386.67
10847,270000,-2389.17
11056,275000,-2378.61
11264,280000,-2392.93
11472,285000,-2391.65
11679,290000,-2402.44
11887,295000,-2384.11
12095,300000,-2390.51
12304,305000,-2384.26
12511,310000,-2402.35
12720,315000,-2379.27
12929,320000,-2383.27
13138,325000,-2375.73
13346,330000,-2386.73
13554,335000,-2393.4
13764,340000,-2374.57
13971,345000,-2395.67
14181,350000,-2374.06
14388,355000,-2400.67
14598,360000,-2369.48
14807,365000,-2383.42
15013,370000,-2403.33
15222,375000,-2388.2
15430,380000,-2385.38
15637,385000,-2404.13
15844,390000,-2402.22
16052,395000,-2395.08
16260,400000,-2390.69
16468,405000,-2390.63
16677,410000,-2379.24
16885,415000,-2388.42
17093,420000,-2391.49
17300,425000,-2404.37
17507,430000,-2401.01
17715,435000,-2395.82
17923,440000,-2392.79
18132,445000,-2377.47
18341,450000,-2379.55
18550,455000,-2381.99
18756,460000,-2411.01
18963,465000,-2407.61
19169,470000,-2413.15
19376,475000,-2402.21
19584,480000,-2390.4
19790,485000,-2406.34
20000,490000,-2375.67
20207,495000,-2400.75
20623,505000,-2396.35
20832,510000,-2380.65
21040,515000,-2395.56
21248,520000,-2386.74
21457,525000,-2386.7
21665,530000,-2391.73
21872,535000,-2394.07
22080,540000,-2399.42
22287,545000,-2394.29
22496,550000,-2385.7
22705,555000,-2379.12
22913,560000,-2391.23
23120,565000,-2394.86
23329,570000,-2386.67
23536,575000,-2396.77
23745,580000,-2380.62
23954,585000,-2388.87
24162,590000,-2387.84
24370,595000,-2392.44
24577,600000,-2395.65
24786,605000,-2378.39
24995,610000,-2381.09
25203,615000,-2395.76
25410,620000,-2399.23
25619,625000,-2382.61
25828,630000,-2379.59
26036,635000,-2388.55
26245,640000,-2387.12
26453,645000,-2382.8
26661,650000,-2391.14
26869,655000,-2389.43
27078,660000,-2386.37
27286,665000,-2387.9
27493,670000,-2403.54
27701,675000,-2383.81
27910,680000,-2388.71
28118,685000,-2385.66
28325,690000,-2407.3
28534,695000,-2382.65
28743,700000,-2375.9
28952,705000,-2379.19
29161,710000,-2378.45
29369,715000,-2393.95
29577,720000,-2383.69
29786,725000,-2383.4
29994,730000,-2396.26
30202,735000,-2390.0
30409,740000,-2396.51
30617,745000,-2397.99
30825,750000,-2391.23
31033,755000,-2386.03
31240,760000,-2398.5
31449,765000,-2386.13
31658,770000,-2379.27
31866,775000,-2386.82
32076,780000,-2376.42
32283,785000,-2390.79
32492,790000,-2386.61
32700,795000,-2388.56
32908,800000,-2392.83
33116,805000,-2390.48
33324,810000,-2392.8
33532,815000,-2394.38
33739,820000,-2394.77
33949,825000,-2374.39
34157,830000,-2384.83
34364,835000,-2403.98
34573,840000,-2375.51
34781,845000,-2392.77
34989,850000,-2393.24
35198,855000,-2386.02
35405,860000,-2396.76
35613,865000,-2385.71
35821,870000,-2390.81
36030,875000,-2389.27
36237,880000,-2395.68
36445,885000,-2397.28
36652,890000,-2400.57
36860,895000,-2394.1
37068,900000,-2386.45
37276,905000,-2385.21
37484,910000,-2400.31
37691,915000,-2394.81
37900,920000,-2386.11
38108,925000,-2388.56
38316,930000,-2387.04
38522,935000,-2416.36
38730,940000,-2388.7
38939,945000,-2383.66
39147,950000,-2386.72
39356,955000,-2382.09
39564,960000,-2392.73
39773,965000,-2381.12
39981,970000,-2390.58
40189,975000,-2386.37
40398,980000,-2384.66
40606,985000,-2393.12
40814,990000,-2386.59
41021,995000,-2404.53
41437,1005000,-2387.18
41645,1010000,-2392.81
41853,1015000,-2387.02
42062,1020000,-2384.37
42271,1025000,-2378.07
42480,1030000,-2377.13
42688,1035000,-2389.93
42896,1040000,-2400.74
43104,1045000,-2390.7
43311,1050000,-2394.63
43520,1055000,-2383.89
43728,1060000,-2392.28
43937,1065000,-2379.91
44144,1070000,-2394.79
44353,1075000,-2383.26
44561,1080000,-2394.24
44770,1085000,-2377.22
44978,1090000,-2395.0
45186,1095000,-2391.32
45394,1100000,-2386.2
45602,1105000,-2390.15
45811,1110000,-2382.45
46020,1115000,-2378.34
46228,1120000,-2395.55
46436,1125000,-2391.1
46644,1130000,-2382.03
46853,1135000,-2387.3
47061,1140000,-2388.19
47270,1145000,-2377.97
47478,1150000,-2391.0
47686,1155000,-2387.31
47895,1160000,-2378.06
48104,1165000,-2386.41
48312,1170000,-2385.37
48521,1175000,-2382.41
48729,1180000,-2396.81
48936,1185000,-2394.26
49145,1190000,-2385.28
49353,1195000,-2389.13
49561,1200000,-2392.28
49769,1205000,-2386.03
49977,1210000,-2393.16
50186,1215000,-2381.31
50394,1220000,-2388.78
50603,1225000,-2375.25
50812,1230000,-2382.02
51020,1235000,-2393.01
51228,1240000,-2393.76
51438,1245000,-2369.52
51647,1250000,-2381.63
51854,1255000,-2392.34
52063,1260000,-2388.87
52272,1265000,-2372.92
52481,1270000,-2384.22
52689,1275000,-2383.24
52898,1280000,-2385.19
53106,1285000,-2388.15
53316,1290000,-2371.48
53524,1295000,-2390.03
53734,1300000,-2372.14
53943,1305000,-2380.67
54153,1310000,-2367.21
54362,1315000,-2378.0
54571,1320000,-2379.47
54779,1325000,-2395.19
54987,1330000,-2384.15
55195,1335000,-2387.27
55404,1340000,-2385.2
55613,1345000,-2377.15
55823,1350000,-2372.68
56032,1355000,-2379.17
56241,1360000,-2374.49
56450,1365000,-2385.14
56657,1370000,-2395.35
56866,1375000,-2386.9
57075,1380000,-2377.95
57283,1385000,-2386.25
57491,1390000,-2392.84
57700,1395000,-2383.88
57908,1400000,-2392.58
58116,1405000,-2388.19
58324,1410000,-2387.56
58533,1415000,-2386.06
58742,1420000,-2374.29
58951,1425000,-2383.76
59159,1430000,-2383.88
59368,1435000,-2378.52
59577,1440000,-2382.04
59786,1445000,-2378.83
59994,1450000,-2393.52
60202,1455000,-2385.8
60412,1460000,-2375.61
60621,1465000,-2381.13
60829,1470000,-2383.31
61038,1475000,-2386.62
61245,1480000,-2399.95
61454,1485000,-2380.76
61662,1490000,-2385.57
61870,1495000,-2390.82
62289,1505000,-2384.23
62497,1510000,-2389.6
62706,1515000,-2373.69
62915,1520000,-2382.54
63123,1525000,-2390.22
63332,1530000,-2385.66
63541,1535000,-2375.93
63751,1540000,-2372.22
63959,1545000,-2383.25
64169,1550000,-2374.48
64377,1555000,-2386.81
64586,1560000,-2380.06
64793,1565000,-2398.29
65002,1570000,-2382.87
65211,1575000,-2385.45
65418,1580000,-2392.55
65629,1585000,-2366.3
65837,1590000,-2381.87
66047,1595000,-2373.31
66256,1600000,-2382.77
66465,1605000,-2377.23
66674,1610000,-2382.33
66882,1615000,-2386.09
67091,1620000,-2384.73
67300,1625000,-2376.64
67509,1630000,-2377.38
67718,1635000,-2385.07
67926,1640000,-2382.77
68134,1645000,-2393.49
68342,1650000,-2385.76
68551,1655000,-2385.62
68759,1660000,-2384.83
68969,1665000,-2372.34
69177,1670000,-2387.6
69386,1675000,-2378.85
69595,1680000,-2389.91
69803,1685000,-2383.94
70012,1690000,-2381.55
70221,1695000,-2383.85
70429,1700000,-2386.14
70638,1705000,-2377.56
70847,1710000,-2382.37
71055,1715000,-2384.74
71264,1720000,-2388.79
71472,1725000,-2383.24
71682,1730000,-2374.71
71890,1735000,-2389.49
72098,1740000,-2385.25
72307,1745000,-2383.38
72515,1750000,-2396.25
72723,1755000,-2384.56
72932,1760000,-2384.8
73141,1765000,-2381.62
73349,1770000,-2380.83
73559,1775000,-2376.6
73767,1780000,-2383.2
73977,1785000,-2376.93
74185,1790000,-2382.18
74394,1795000,-2385.27
74602,1800000,-2395.2
74811,1805000,-2378.3
75019,1810000,-2383.9
75227,1815000,-2390.95
75436,1820000,-2383.22
75645,1825000,-2382.08
75853,1830000,-2389.35
76061,1835000,-2390.28
76270,1840000,-2380.75
76478,1845000,-2389.06
76687,1850000,-2382.5
76895,1855000,-2385.1
77104,1860000,-2386.73
77312,1865000,-2388.09
77521,1870000,-2379.83
77730,1875000,-2378.84
77938,1880000,-2383.64
78147,1885000,-2379.57
78356,1890000,-2382.28
78565,1895000,-2380.25
78774,1900000,-2385.91
78983,1905000,-2376.22
79191,1910000,-2389.54
79400,1915000,-2384.77
79607,1920000,-2393.57
79816,1925000,-2380.05
80025,1930000,-2384.68
80233,1935000,-2388.18
80443,1940000,-2372.91
80652,1945000,-2379.03
80861,1950000,-2380.5
81070,1955000,-2380.3
81279,1960000,-2373.0
81488,1965000,-2383.12
81696,1970000,-2385.36
81905,1975000,-2382.9
82113,1980000,-2387.18
82322,1985000,-2385.17
82530,1990000,-2385.18
82739,1995000,-2380.47
83156,2005000,-2383.02
83365,2010000,-2381.93
83574,2015000,-2383.19
83783,2020000,-2379.72
83991,2025000,-2385.84
84200,2030000,-2385.2
84409,2035000,-2376.56
84618,2040000,-2383.61
84827,2045000,-2375.99
85035,2050000,-2386.3
85245,2055000,-2375.72
85454,2060000,-2380.31
85663,2065000,-2380.34
85872,2070000,-2379.9
86080,2075000,-2386.93
86288,2080000,-2388.47
86497,2085000,-2380.8
86705,2090000,-2386.58
86914,2095000,-2378.48
87123,2100000,-2380.45
87333,2105000,-2376.73
87542,2110000,-2377.78
87750,2115000,-2385.24
87959,2120000,-2376.49
88168,2125000,-2384.1
88377,2130000,-2384.62
88585,2135000,-2385.16
88794,2140000,-2383.65
89003,2145000,-2377.61
89212,2150000,-2383.32
89421,2155000,-2374.88
89629,2160000,-2388.12
89838,2165000,-2385.08
90047,2170000,-2381.02
90255,2175000,-2380.84
90464,2180000,-2385.61
90672,2185000,-2386.52
90881,2190000,-2377.51
91091,2195000,-2374.72
91299,2200000,-2384.49
91508,2205000,-2383.34
91717,2210000,-2384.34
91925,2215000,-2384.56
92134,2220000,-2384.67
92343,2225000,-2379.96
92551,2230000,-2388.08
92759,2235000,-2386.53
92968,2240000,-2381.56
93177,2245000,-2379.9
93386,2250000,-2385.08
93595,2255000,-2378.42
93803,2260000,-2384.03
94012,2265000,-2387.49
94220,2270000,-2386.43
94429,2275000,-2382.97
94638,2280000,-2379.99
94846,2285000,-2385.18
95055,2290000,-2382.91
95264,2295000,-2376.96
95473,2300000,-2385.54
95682,2305000,-2379.37
95889,2310000,-2392.1
96098,2315000,-2380.84
96307,2320000,-2387.97
96516,2325000,-2378.54
96725,2330000,-2379.19
96933,2335000,-2382.37
97142,2340000,-2386.05
97351,2345000,-2380.18
97559,2350000,-2383.21
97768,2355000,-2382.63
97978,2360000,-2374.66
98187,2365000,-2374.68
98396,2370000,-2381.53
98605,2375000,-2382.96
98813,2380000,-2385.53
99022,2385000,-2377.48
99231,2390000,-2385.83
99440,2395000,-2377.65
99649,2400000,-2378.55
99858,2405000,-2382.42
100067,2410000,-2379.3
100275,2415000,-2390.95
100483,2420000,-2381.85
100692,2425000,-2382.95
100901,2430000,-2378.62
101110,2435000,-2381.83
101319,2440000,-2381.23
101528,2445000,-2381.14
101736,2450000,-2384.86
101945,2455000,-2381.82
102154,2460000,-2382.73
102363,2465000,-2379.82
102572,2470000,-2376.07
102781,2475000,-2378.05
102990,2480000,-2382.8
